1	A	64	44	0	0
2	B	13	32	0	0
3	C	22	36	0	0
4	D	32	38	0	0
5	E	103	47	0	0
6	F	21	35	0	0
7	G	15	32	0	0
8	H	47	40	0	0
9	I	57	42	0	0
10	J	1	27	0	0
11	K	5	30	0	0
12	L	32	38	0	0
13	M	20	35	0	0
14	N	57	42	0	0
15	O	63	43	0	0
16	P	15	33	0	0
17	Q	1	27	0	0
18	R	48	41	0	0
19	S	51	41	0	0
20	T	80	45	0	0
21	U	23	36	0	0
22	V	8	31	0	0
23	W	18	34	0	0
24	X	1	28	0	0
25	Y	16	33	0	0
26	Z	1	28	0	0
27	#	2	29	10	17
28	#	2	29	24	26
29	#	4	30	27	28
30	#	9	31	29	11
31	#	17	34	22	30
32	#	28	37	2	7
33	#	31	37	16	25
34	#	35	39	31	23
35	#	41	39	13	6
36	#	45	40	3	21
37	#	59	43	32	33
38	#	64	44	4	12
39	#	76	45	34	35
40	#	92	46	36	8
41	#	99	46	18	19
42	#	114	47	9	14
43	#	122	48	37	15
44	#	128	48	1	38
45	#	156	49	39	20
46	#	191	49	40	41
47	#	217	50	5	42
48	#	250	50	43	44
49	#	347	51	45	46
50	#	467	51	47	48
51	#	814	0	49	50
