1, ,186,50,0,0
2,A,64,45,0,0
3,B,13,33,0,0
4,C,22,37,0,0
5,D,32,39,0,0
6,E,103,48,0,0
7,F,21,36,0,0
8,G,15,33,0,0
9,H,47,41,0,0
10,I,57,43,0,0
11,J,1,28,0,0
12,K,5,31,0,0
13,L,32,39,0,0
14,M,20,36,0,0
15,N,57,43,0,0
16,O,63,44,0,0
17,P,15,34,0,0
18,Q,1,28,0,0
19,R,48,42,0,0
20,S,51,42,0,0
21,T,80,46,0,0
22,U,23,37,0,0
23,V,8,32,0,0
24,W,18,35,0,0
25,X,1,29,0,0
26,Y,16,34,0,0
27,Z,1,29,0,0
28,#,2,30,11,18
29,#,2,30,25,27
30,#,4,31,28,29
31,#,9,32,30,12
32,#,17,35,23,31
33,#,28,38,3,8
34,#,31,38,17,26
35,#,35,40,32,24
36,#,41,40,14,7
37,#,45,41,4,22
38,#,59,44,33,34
39,#,64,45,5,13
40,#,76,46,35,36
41,#,92,47,37,9
42,#,99,47,19,20
43,#,114,48,10,15
44,#,122,49,38,16
45,#,128,49,2,39
46,#,156,50,40,21
47,#,191,51,41,42
48,#,217,51,6,43
49,#,250,52,44,45
50,#,342,52,46,1
51,#,408,53,47,48
52,#,592,53,49,50
53,#,1000,0,51,52
